ia1,ia2,winner,moves
ia_lmaret.pl,ia_manchot.pl,ia_manchot.pl,10
ia_lmaret.pl,ia_random.pl,ia_lmaret.pl,7
ia_lmaret.pl,ia_ychastagner.pl,ia_lmaret.pl,7
ia_lmaret.pl,ia_ychastagner_mcts.pl,ia_lmaret.pl,7
ia_lmaret.pl,ia_ychastagner_random.pl,ia_lmaret.pl,9
ia_manchot.pl,ia_lmaret.pl,ia_manchot.pl,7
ia_manchot.pl,ia_random.pl,ia_manchot.pl,17
ia_manchot.pl,ia_ychastagner.pl,ia_manchot.pl,7
ia_manchot.pl,ia_ychastagner_mcts.pl,ia_manchot.pl,7
ia_manchot.pl,ia_ychastagner_random.pl,ia_manchot.pl,7
ia_random.pl,ia_lmaret.pl,ia_lmaret.pl,16
ia_random.pl,ia_manchot.pl,ia_manchot.pl,8
ia_random.pl,ia_ychastagner.pl,ia_ychastagner.pl,20
ia_random.pl,ia_ychastagner_mcts.pl,ia_ychastagner_mcts.pl,8
ia_random.pl,ia_ychastagner_random.pl,ia_ychastagner_random.pl,14
ia_ychastagner.pl,ia_lmaret.pl,ia_ychastagner.pl,11
ia_ychastagner.pl,ia_manchot.pl,ia_ychastagner.pl,23
ia_ychastagner.pl,ia_random.pl,ia_ychastagner.pl,21
ia_ychastagner.pl,ia_ychastagner_mcts.pl,ia_ychastagner.pl,37
ia_ychastagner.pl,ia_ychastagner_random.pl,ia_ychastagner.pl,13
ia_ychastagner_mcts.pl,ia_lmaret.pl,ia_ychastagner_mcts.pl,7
ia_ychastagner_mcts.pl,ia_manchot.pl,ia_ychastagner_mcts.pl,7
ia_ychastagner_mcts.pl,ia_random.pl,ia_ychastagner_mcts.pl,7
ia_ychastagner_mcts.pl,ia_ychastagner.pl,ia_ychastagner.pl,24
ia_ychastagner_mcts.pl,ia_ychastagner_random.pl,ia_ychastagner_mcts.pl,13
ia_ychastagner_random.pl,ia_lmaret.pl,ia_ychastagner_random.pl,7
ia_ychastagner_random.pl,ia_manchot.pl,ia_ychastagner_random.pl,7
ia_ychastagner_random.pl,ia_random.pl,ia_ychastagner_random.pl,11
ia_ychastagner_random.pl,ia_ychastagner.pl,ia_ychastagner.pl,24
ia_ychastagner_random.pl,ia_ychastagner_mcts.pl,ia_ychastagner_mcts.pl,30
